Run	Location	End	Quality
SRR1324828	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/008/SRR1324828	se	62
SRR1324829	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/009/SRR1324829	se	55
SRR1324830	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/000/SRR1324830	se	55
SRR1324831	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/001/SRR1324831	se	50
SRR1324832	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/002/SRR1324832	se	35
SRR1324833	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/003/SRR1324833	se	62
SRR1324834	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/004/SRR1324834	se	66
SRR1324835	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/005/SRR1324835	se	26
SRR1324836	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/006/SRR1324836	se	60
SRR1324837	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR132/007/SRR1324837	se	85
