Run	Sample	condition	genotype	strain	developmental_stage	source_name
SRR5127067	SAMN06176572	Wild type	"wild-type, Bristol"	GW1 / N2 (WT)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127068	SAMN06176572	Wild type	"wild-type, Bristol"	GW1 / N2 (WT)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127071	SAMN06176573	lsm-8 mutant	lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1125 (lsm-8-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127072	SAMN06176573	lsm-8 mutant	lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1125 (lsm-8-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127095	SAMN06176579	lsm-8 mutant	lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1125 (lsm-8-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127096	SAMN06176579	lsm-8 mutant	lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1125 (lsm-8-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127093	SAMN06176580	met-2 set-25 double mutant	met-2(n4256) set-25(n5021) III	GW638 (met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127094	SAMN06176580	met-2 set-25 double mutant	met-2(n4256) set-25(n5021) III	GW638 (met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127089	SAMN06176582	lsm-8 met-2 set-25 triple mutant	met-2(n4256) set-25(n5021) III; lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1148 (lsm-8-/-; met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127090	SAMN06176582	lsm-8 met-2 set-25 triple mutant	met-2(n4256) set-25(n5021) III; lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1148 (lsm-8-/-; met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127085	SAMN06176584	met-2 set-25 double mutant	met-2(n4256) set-25(n5021) III	GW638 (met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127086	SAMN06176584	met-2 set-25 souble mutant	met-2(n4256) set-25(n5021) III	GW638 (met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127083	SAMN06176585	Wild type	"wild-type, Bristol"	GW1 / N2 (WT)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127084	SAMN06176585	Wild type	"wild-type, Bristol"	GW1 / N2 (WT)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127073	SAMN06176587	lsm-8 met-2 set-25 triple mutant	met-2(n4256) set-25(n5021) III; lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1148 (lsm-8-/-; met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
SRR5127074	SAMN06176587	lsm-8 met-2 set-25 triple mutant	met-2(n4256) set-25(n5021) III; lsm-8 (xe17 [myo2p::mcherry::unc54 3'UTR])IV/nT1[qIs51](IV;V)	GW1148 (lsm-8-/-; met-2-/- set-25-/-)	L3	L3 larval stage sorted for non green (no balancer)
